user_level,learning_goal,topic_code,subtopic_code,topic_level,quiz_type,quiz_score,avg_last_3_scores,previous_fails_same_topic,subtopic_order,preferred_topic_match,completed_interactive,needs_reinforcement
beginner,financial_planning,budgeting,topic_final,beginner,topic_final_quiz,57.5,59.4,1,5,1,0,1
basic,general_improvement,budgeting,topic_final,beginner,topic_final_quiz,44.2,29.1,2,5,1,0,1
intermediate,debt_management,financial_planning,financial_goals,intermediate,subtopic_quiz,69.3,79.7,0,1,0,0,0
intermediate,other,investments,what_are_investments,advanced,subtopic_quiz,60.4,61.4,0,1,1,1,1
beginner,financial_planning,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,77.4,81.4,0,1,0,1,0
intermediate,saving_money,savings,emergency_fund,beginner,subtopic_quiz,71.1,64.7,0,2,1,0,1
beginner,general_improvement,investments,topic_final,advanced,topic_final_quiz,47.8,48.4,3,5,0,1,1
basic,start_investing,credit_and_debt,topic_final,intermediate,topic_final_quiz,64.3,81.9,0,5,1,1,1
beginner,debt_management,financial_planning,savings_plan,intermediate,subtopic_quiz,51.9,61.8,1,4,0,0,1
advanced,other,budgeting,budget_analysis,beginner,subtopic_quiz,100,77.9,0,5,0,0,0
beginner,understand_banking,investments,diversification,advanced,subtopic_quiz,64.0,60.2,1,3,1,1,1
intermediate,other,budgeting,expense_accounting,beginner,subtopic_quiz,42.6,60.5,1,3,0,1,1
beginner,general_improvement,investments,beginner_mistakes,advanced,subtopic_quiz,11.6,29.1,0,5,1,1,1
basic,saving_money,budgeting,topic_final,beginner,topic_final_quiz,52.6,48.2,2,5,0,1,1
basic,financial_planning,savings,saving_mistakes,beginner,subtopic_quiz,90.7,81.0,0,5,1,1,0
basic,financial_planning,credit_and_debt,choose_credit,intermediate,subtopic_quiz,37.0,41.2,0,5,0,0,1
beginner,general_improvement,budgeting,income_expenses,beginner,subtopic_quiz,61.7,60.5,0,1,1,0,1
intermediate,understand_banking,investments,risk_and_return,advanced,subtopic_quiz,86.2,97.2,0,2,1,1,0
beginner,control_spending,budgeting,income_expenses,beginner,subtopic_quiz,60.3,60.7,0,1,1,1,1
basic,other,financial_planning,financial_goals,intermediate,subtopic_quiz,76.4,63.2,0,1,1,0,0
basic,financial_planning,savings,topic_final,beginner,topic_final_quiz,84.3,73.2,0,5,1,1,0
intermediate,start_investing,financial_planning,progress_control,intermediate,subtopic_quiz,74.8,89.6,0,5,1,1,0
basic,other,credit_and_debt,topic_final,intermediate,topic_final_quiz,49.0,32.9,0,5,0,0,1
beginner,general_improvement,savings,saving_mistakes,beginner,subtopic_quiz,56.6,53.6,1,5,0,1,1
beginner,understand_banking,savings,how_to_save,beginner,subtopic_quiz,47.9,58.7,0,3,1,1,1
basic,other,investments,what_are_investments,advanced,subtopic_quiz,34.8,41.3,3,1,0,0,1
intermediate,other,savings,saving_mistakes,beginner,subtopic_quiz,87.2,72.0,0,5,1,0,0
beginner,financial_planning,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,27.7,21.5,2,2,1,0,1
beginner,understand_banking,financial_planning,financial_goals,intermediate,subtopic_quiz,61.0,77.9,0,1,0,1,0
beginner,debt_management,investments,topic_final,advanced,topic_final_quiz,65.7,61.3,0,5,0,0,1
advanced,financial_planning,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,81.0,60.2,2,1,0,1,1
advanced,general_improvement,savings,emergency_fund,beginner,subtopic_quiz,82.8,87.3,0,2,1,1,0
basic,general_improvement,savings,why_save,beginner,subtopic_quiz,72.8,78.9,0,1,0,1,0
beginner,saving_money,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,61.2,70.6,0,4,0,1,1
advanced,debt_management,budgeting,topic_final,beginner,topic_final_quiz,93.2,86.9,0,5,0,1,0
advanced,financial_planning,investments,topic_final,advanced,topic_final_quiz,69.1,68.5,1,5,0,1,1
advanced,control_spending,savings,why_save,beginner,subtopic_quiz,90.0,94.6,0,1,0,1,0
basic,understand_banking,credit_and_debt,interest_rate,intermediate,subtopic_quiz,48.5,26.3,2,2,1,0,1
beginner,understand_banking,investments,diversification,advanced,subtopic_quiz,29.6,14.6,1,3,0,1,1
basic,control_spending,savings,how_to_save,beginner,subtopic_quiz,76.1,79.3,0,3,1,1,0
beginner,start_investing,savings,topic_final,beginner,topic_final_quiz,54.9,55.1,1,5,0,0,1
advanced,saving_money,financial_planning,financial_goals,intermediate,subtopic_quiz,75.1,91.7,0,1,0,1,0
basic,start_investing,investments,what_are_investments,advanced,subtopic_quiz,27.9,0,3,1,1,1,1
basic,debt_management,investments,beginner_mistakes,advanced,subtopic_quiz,29.3,24.9,0,5,0,1,1
beginner,saving_money,investments,risk_and_return,advanced,subtopic_quiz,41.3,50.2,0,2,0,0,1
basic,control_spending,savings,why_save,beginner,subtopic_quiz,64.2,62.8,0,1,0,1,1
intermediate,understand_banking,investments,what_are_investments,advanced,subtopic_quiz,75.8,60.7,1,1,0,1,1
basic,increase_income,investments,risk_and_return,advanced,subtopic_quiz,70.2,69.4,0,2,1,1,0
advanced,other,financial_planning,savings_plan,intermediate,subtopic_quiz,72.8,89.7,0,4,1,1,0
beginner,control_spending,budgeting,expense_accounting,beginner,subtopic_quiz,61.6,68.1,0,3,1,1,1
beginner,control_spending,budgeting,budget_analysis,beginner,subtopic_quiz,58.9,63.7,0,5,1,1,1
beginner,saving_money,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,56.9,71.2,1,2,0,0,1
intermediate,debt_management,investments,what_are_investments,advanced,subtopic_quiz,66.7,63.1,1,1,0,1,1
intermediate,financial_planning,savings,topic_final,beginner,topic_final_quiz,97.9,100,1,5,1,1,0
intermediate,control_spending,budgeting,budget_analysis,beginner,subtopic_quiz,60.4,68.8,0,5,1,1,0
intermediate,understand_banking,financial_planning,savings_plan,intermediate,subtopic_quiz,83.1,71.5,0,4,1,1,0
beginner,financial_planning,financial_planning,progress_control,intermediate,subtopic_quiz,51.1,52.9,1,5,1,1,1
intermediate,debt_management,financial_planning,savings_plan,intermediate,subtopic_quiz,66.4,68.0,0,4,0,1,0
advanced,saving_money,credit_and_debt,choose_credit,intermediate,subtopic_quiz,72.1,77.6,0,5,0,1,0
beginner,financial_planning,budgeting,topic_final,beginner,topic_final_quiz,70.0,76.7,0,5,1,1,0
beginner,start_investing,financial_planning,progress_control,intermediate,subtopic_quiz,47.9,52.9,1,5,0,1,1
intermediate,increase_income,savings,topic_final,beginner,topic_final_quiz,84.1,91.1,0,5,0,0,0
beginner,general_improvement,savings,how_to_save,beginner,subtopic_quiz,61.2,69.0,2,3,0,1,1
beginner,increase_income,financial_planning,topic_final,intermediate,topic_final_quiz,47.2,41.4,0,5,1,0,1
beginner,start_investing,financial_planning,topic_final,intermediate,topic_final_quiz,39.6,44.0,1,5,1,1,1
basic,financial_planning,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,83.6,77.0,1,4,1,1,0
basic,general_improvement,investments,diversification,advanced,subtopic_quiz,47.7,32.2,2,3,0,0,1
beginner,start_investing,savings,emergency_fund,beginner,subtopic_quiz,68.0,66.6,0,2,0,1,0
intermediate,financial_planning,budgeting,expense_accounting,beginner,subtopic_quiz,65.2,58.7,1,3,1,0,1
intermediate,increase_income,savings,saving_mistakes,beginner,subtopic_quiz,55.8,51.3,1,5,0,1,1
basic,understand_banking,investments,what_are_investments,advanced,subtopic_quiz,47.3,47.9,3,1,0,1,1
basic,debt_management,budgeting,expense_accounting,beginner,subtopic_quiz,90.3,66.8,0,3,0,1,0
beginner,control_spending,financial_planning,savings_plan,intermediate,subtopic_quiz,55.0,49.6,2,4,0,1,1
beginner,increase_income,investments,topic_final,advanced,topic_final_quiz,44.2,55.0,1,5,1,1,1
